epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,227.463,0.69721,0.64072,0.00177,0.9217,0.90916,0.96986,0.87194,0.49501,0.36321,0.0016,0.000990365,0.000990365,0.000990365
43,232.471,0.6827,0.61435,0.00186,0.95485,0.86179,0.96759,0.86439,0.50614,0.37621,0.00169,0.000973861,0.000973861,0.000973861
44,237.301,0.72516,0.59447,0.0017,0.93541,0.87933,0.96823,0.86806,0.50227,0.35984,0.00172,0.000957358,0.000957358,0.000957358
45,242.169,0.73291,0.63728,0.00186,0.952,0.88727,0.96989,0.86655,0.50659,0.3791,0.00175,0.000940855,0.000940855,0.000940855
46,247.036,0.68845,0.6054,0.0018,0.94021,0.93445,0.97182,0.86065,0.54256,0.36032,0.00181,0.000924352,0.000924352,0.000924352
47,251.958,0.74386,0.66961,0.00183,0.9333,0.92369,0.97185,0.86137,0.52413,0.3628,0.00181,0.000907848,0.000907848,0.000907848
48,256.827,0.74521,0.6033,0.00197,0.93242,0.90756,0.97271,0.87036,0.51557,0.35906,0.00177,0.000891345,0.000891345,0.000891345
49,261.562,0.67064,0.53941,0.0018,0.94091,0.89566,0.97179,0.87014,0.50906,0.35097,0.00174,0.000874842,0.000874842,0.000874842
50,266.389,0.69841,0.59951,0.00181,0.92371,0.9065,0.97158,0.85803,0.54154,0.36014,0.00183,0.000858338,0.000858338,0.000858338
51,271.175,0.71343,0.55222,0.00176,0.93151,0.91331,0.97436,0.86286,0.52875,0.35225,0.0018,0.000841835,0.000841835,0.000841835
52,276.064,0.65935,0.53365,0.00166,0.90945,0.90609,0.96986,0.86165,0.52361,0.35928,0.00167,0.000825332,0.000825332,0.000825332
53,280.838,0.71448,0.53719,0.0018,0.89089,0.92353,0.96779,0.85897,0.52095,0.37089,0.00171,0.000808828,0.000808828,0.000808828
54,285.73,0.71419,0.62629,0.0018,0.91317,0.92955,0.97533,0.85451,0.56502,0.37054,0.00195,0.000792325,0.000792325,0.000792325
55,290.517,0.72254,0.56064,0.00188,0.91326,0.92336,0.9767,0.87191,0.51065,0.34173,0.00166,0.000775822,0.000775822,0.000775822
56,295.25,0.72372,0.60837,0.00178,0.94872,0.89992,0.97946,0.86508,0.53805,0.33009,0.00176,0.000759318,0.000759318,0.000759318
57,299.961,0.72105,0.5343,0.00163,0.87119,0.94309,0.97426,0.87054,0.50966,0.35054,0.00169,0.000742815,0.000742815,0.000742815
58,304.755,0.66423,0.53899,0.0018,0.91842,0.9065,0.97376,0.88047,0.47872,0.334,0.00153,0.000726312,0.000726312,0.000726312
59,309.63,0.6745,0.50244,0.0017,0.91154,0.93226,0.97626,0.87469,0.50752,0.33084,0.0017,0.000709809,0.000709809,0.000709809
60,314.555,0.67042,0.4892,0.00166,0.90795,0.93902,0.97873,0.87538,0.52012,0.32458,0.00163,0.000693305,0.000693305,0.000693305
61,319.379,0.68815,0.51344,0.0017,0.94962,0.91577,0.97966,0.87978,0.50026,0.31137,0.00154,0.000676802,0.000676802,0.000676802
62,324.227,0.68664,0.51973,0.00172,0.91181,0.93157,0.97838,0.8816,0.4839,0.31966,0.00156,0.000660299,0.000660299,0.000660299
63,329.077,0.68179,0.50827,0.00174,0.91088,0.93308,0.97901,0.87272,0.50597,0.31244,0.00163,0.000643795,0.000643795,0.000643795
64,333.995,0.68316,0.50195,0.00167,0.89972,0.94309,0.97763,0.87349,0.50596,0.32063,0.00173,0.000627292,0.000627292,0.000627292
65,338.868,0.67684,0.48059,0.00176,0.94194,0.89942,0.97701,0.87128,0.50901,0.31912,0.00164,0.000610789,0.000610789,0.000610789
66,343.691,0.68777,0.51111,0.00158,0.90909,0.94029,0.97747,0.87315,0.50365,0.31646,0.00174,0.000594286,0.000594286,0.000594286
67,348.492,0.68312,0.49291,0.00169,0.9166,0.92654,0.97771,0.87738,0.48366,0.30966,0.00154,0.000577782,0.000577782,0.000577782
68,353.383,0.648,0.47027,0.00155,0.89283,0.94724,0.97894,0.88209,0.48339,0.30833,0.00158,0.000561279,0.000561279,0.000561279
69,358.223,0.60538,0.44473,0.00157,0.94357,0.88645,0.97783,0.87795,0.51132,0.31973,0.00175,0.000544776,0.000544776,0.000544776
70,363.213,0.66044,0.49255,0.00174,0.92773,0.9187,0.97844,0.87706,0.50275,0.30966,0.00173,0.000528272,0.000528272,0.000528272
71,368.011,0.63571,0.43916,0.00159,0.94893,0.89728,0.97734,0.87436,0.49851,0.31773,0.00163,0.000511769,0.000511769,0.000511769
72,372.883,0.64469,0.48393,0.00155,0.91779,0.93484,0.97788,0.88096,0.48171,0.31491,0.00158,0.000495266,0.000495266,0.000495266
73,377.711,0.6412,0.42228,0.0016,0.92926,0.90327,0.97856,0.88881,0.47231,0.31569,0.00152,0.000478762,0.000478762,0.000478762
74,382.537,0.65238,0.49391,0.00164,0.91324,0.92473,0.98026,0.88079,0.50235,0.30726,0.00158,0.000462259,0.000462259,0.000462259
75,387.452,0.6488,0.45203,0.00153,0.92776,0.92932,0.98038,0.88296,0.47569,0.30162,0.00153,0.000445756,0.000445756,0.000445756
76,392.243,0.6402,0.44582,0.0016,0.92978,0.94495,0.97883,0.88511,0.48006,0.30502,0.00157,0.000429253,0.000429253,0.000429253
77,397.022,0.64018,0.44533,0.00154,0.93417,0.92954,0.97822,0.88331,0.47966,0.30351,0.00155,0.000412749,0.000412749,0.000412749
78,401.858,0.61248,0.4364,0.00166,0.94657,0.91057,0.97976,0.88454,0.49452,0.3029,0.00158,0.000396246,0.000396246,0.000396246
79,406.651,0.60673,0.43118,0.00146,0.94751,0.90432,0.98061,0.88654,0.49311,0.29659,0.00162,0.000379743,0.000379743,0.000379743
80,411.441,0.59689,0.43064,0.00153,0.96365,0.89827,0.98063,0.88953,0.47475,0.29313,0.00152,0.000363239,0.000363239,0.000363239
81,416.246,0.67254,0.46661,0.00174,0.92194,0.92276,0.97917,0.88615,0.47663,0.30046,0.00158,0.000346736,0.000346736,0.000346736
82,421.114,0.64029,0.4485,0.00156,0.90836,0.94296,0.97812,0.88024,0.48168,0.30977,0.00154,0.000330233,0.000330233,0.000330233
83,426.076,0.61735,0.42454,0.00139,0.95273,0.89134,0.97864,0.8888,0.46842,0.30803,0.00151,0.000313729,0.000313729,0.000313729
84,430.987,0.5587,0.39639,0.00148,0.96482,0.89762,0.97916,0.89301,0.45993,0.29872,0.00147,0.000297226,0.000297226,0.000297226
85,435.756,0.60441,0.41417,0.00141,0.95574,0.90313,0.97994,0.88941,0.46744,0.29856,0.00148,0.000280723,0.000280723,0.000280723
86,440.539,0.68679,0.44633,0.00158,0.92688,0.93089,0.98053,0.88544,0.48061,0.29483,0.00152,0.00026422,0.00026422,0.00026422
87,445.281,0.62002,0.43164,0.00147,0.92975,0.93496,0.98109,0.88637,0.47454,0.29375,0.00157,0.000247716,0.000247716,0.000247716
